2.260863304138183594e+01,1.202099761962890625e+02
2.255837631225585582e+01,1.202375030517577983e+02
2.252436828613280895e+01,1.202395935058593608e+02
2.246874237060546875e+01,1.202913513183593608e+02
2.002391433715820312e+01,1.203073043823242045e+02
1.999879646301269176e+01,1.202444992065429545e+02
1.987505722045898438e+01,1.210645980834960795e+02
1.994353485107421520e+01,1.201583099365234375e+02
1.991441345214844105e+01,1.202680892944335938e+02
1.988215255737304688e+01,1.203004531860351562e+02
1.987995910644531250e+01,1.201839370727539062e+02
1.985867881774902344e+01,1.202450714111327983e+02
1.981624603271484375e+01,1.202021102905273438e+02
1.980220985412597656e+01,1.202512054443359233e+02
1.976209449768066406e+01,1.204891510009765625e+02
1.976588821411132812e+01,1.201301193237304545e+02
1.974618530273437145e+01,1.202271347045898438e+02
1.971541595458984375e+01,1.201504287719726420e+02
1.967795181274414062e+01,1.204167556762695170e+02
1.969449806213378906e+01,1.202489471435546733e+02
1.968782043457031250e+01,1.201038055419921733e+02
1.962854957580566406e+01,1.204748764038085938e+02
1.960353469848632812e+01,1.206163864135742045e+02
1.961008834838867188e+01,1.201341857910156250e+02
1.957927894592284801e+01,1.202538986206054545e+02
1.920815467834472656e+01,1.200220108032226420e+02
1.915365219116210938e+01,1.201141052246093608e+02
1.913669967651367188e+01,1.200038452148437642e+02
1.907105827331542969e+01,1.200356445312500000e+02
1.892163276672363281e+01,1.201825180053710795e+02
1.852438735961914062e+01,1.182227630615234375e+02
1.797694587707519531e+01,1.204789199829101562e+02
1.603405570983886719e+01,1.202326660156250000e+02
1.409558773040771484e+01,1.202315216064453267e+02
1.355048656463623047e+01,1.216264495849609233e+02
1.331095981597900391e+01,1.228713912963867188e+02
1.307892417907714844e+01,1.228460922241210795e+02
1.307779979705810369e+01,1.228103637695312358e+02
1.262889385223388672e+01,1.240963973999023438e+02
1.261194515228271484e+01,1.228385772705077983e+02
1.216431713104248047e+01,1.228813858032226420e+02
1.214068508148193182e+01,1.228565826416015625e+02
1.208248043060302734e+01,1.228468246459960795e+02
1.195200347900390625e+01,1.228109283447265625e+02
1.144672203063964844e+01,1.235451049804687642e+02
1.143315696716308416e+01,1.235855484008789062e+02
1.135385036468505859e+01,1.233669204711914062e+02
1.072932434082031250e+01,1.256668472290039062e+02
1.202179813385009588e+01,1.170161972045898438e+02
1.079363155364990234e+01,1.247732238769531250e+02
1.195206832885742010e+01,1.167922973632812358e+02
1.151099109649658203e+01,1.191224441528320455e+02
1.110123252868652344e+01,1.213124389648437642e+02
1.104457473754882812e+01,1.213307571411132812e+02
1.070706367492675604e+01,1.225939178466796733e+02
1.036258029937743963e+01,1.245547180175781250e+02
1.032821846008300781e+01,1.245961608886718750e+02
1.028175640106201172e+01,1.247871322631835938e+02
1.015862464904785156e+01,1.251210479736327983e+02
1.105603313446044744e+01,1.189669494628906250e+02
1.139585208892822266e+01,1.165783233642577983e+02
1.135671806335449219e+01,1.167585754394531250e+02
1.051508998870849609e+01,1.222694015502929545e+02
1.047550678253173828e+01,1.222278060913085938e+02
1.042320537567138672e+01,1.223391647338867188e+02
1.119981765747070312e+01,1.169101638793945170e+02
1.116742134094238281e+01,1.163331375122070455e+02
1.019146919250488281e+01,1.226471252441406250e+02
1.017095375061035156e+01,1.226017761230468750e+02
1.107681179046630859e+01,1.164049911499023438e+02
1.012021446228027166e+01,1.226143569946289062e+02
9.608615875244140625e+00,1.256402359008789062e+02
9.524732589721679688e+00,1.259003829956054545e+02
1.065700054168701172e+01,1.187915496826171733e+02
1.097513103485107422e+01,1.165092849731445170e+02
1.073871994018554688e+01,1.172658920288085938e+02
1.068976593017577947e+01,1.168065643310546733e+02
1.080741691589355469e+01,1.159244461059570455e+02
1.014517402648925604e+01,1.154308776855468750e+02
9.893030166625976562e+00,1.164035797119140625e+02
9.996632575988767755e+00,1.154016342163085938e+02
9.706515312194824219e+00,1.165404052734375000e+02
9.710091590881347656e+00,1.164633560180664062e+02
9.691647529602049005e+00,1.165945968627929545e+02
7.418798446655273438e+00,1.226044921875000000e+02
7.374375820159912109e+00,1.225967483520507812e+02
7.376257896423340732e+00,1.224990158081054545e+02
7.331418991088867188e+00,1.225196456909179545e+02
7.305719852447508877e+00,1.226772994995117188e+02
8.408279418945312500e+00,1.152263031005859233e+02
8.407307624816894531e+00,1.151861267089843608e+02
7.257424354553222656e+00,1.226058044433593608e+02
8.364472389221189630e+00,1.152926940917968750e+02
7.981764316558838779e+00,1.176659240722656250e+02
7.981186389923094815e+00,1.176231231689453267e+02
7.209979057312010831e+00,1.225558471679687642e+02
7.311410903930664062e+00,1.217560195922851562e+02
7.198603630065917969e+00,1.224560546875000000e+02
7.940621852874754971e+00,1.176385574340820455e+02
7.193842887878417969e+00,1.223719253540039062e+02
7.187336444854736328e+00,1.224124908447265625e+02
7.134726047515869141e+00,1.227341537475585938e+02
7.110008716583251953e+00,1.228876419067382812e+02
8.279263496398924005e+00,1.152338562011718750e+02
7.140522480010985440e+00,1.224885406494140625e+02
7.121485233306884766e+00,1.225204696655273438e+02
7.236512184143065518e+00,1.217644348144531250e+02
7.855399608612060547e+00,1.174347076416015625e+02
7.062985897064208984e+00,1.225108871459960795e+02
7.179373264312744141e+00,1.216591949462890625e+02
7.159079074859619141e+00,1.217860870361327983e+02
7.117998600006104404e+00,1.218690872192382812e+02
6.985391139984129971e+00,1.226465759277343608e+02
7.109621047973632812e+00,1.217918930053710795e+02
7.995780467987058771e+00,1.157114486694335938e+02
7.051622390747070312e+00,1.217819213867187642e+02
7.955159664154050958e+00,1.155623168945312358e+02
7.933347702026366299e+00,1.156598281860351562e+02
7.601428508758545810e+00,1.178596267700195170e+02
6.871807575225830078e+00,1.223953475952148438e+02
7.621030330657959873e+00,1.175612564086914062e+02
6.788811683654785156e+00,1.228204650878906250e+02
6.776678085327148438e+00,1.228530273437500000e+02
7.541697502136230469e+00,1.179465332031250000e+02
7.510324001312255859e+00,1.179280548095703267e+02
7.420542716979980469e+00,1.180819396972656250e+02
7.402153491973876953e+00,1.181567840576171733e+02
7.431624889373779297e+00,1.179159622192382812e+02
6.681647300720214844e+00,1.226454315185546733e+02
7.389150619506836826e+00,1.181054306030273438e+02
7.410964488983153409e+00,1.178716888427734375e+02
7.526901721954345703e+00,1.170053176879882812e+02
7.497428417205809659e+00,1.170639114379882812e+02
7.299332618713378906e+00,1.182110290527343608e+02
7.477713108062744141e+00,1.169837646484375000e+02
7.472573757171631748e+00,1.167853164672851562e+02
6.591243743896484375e+00,1.224479446411132812e+02
6.576715469360351562e+00,1.225374069213867188e+02
7.437796592712401456e+00,1.167117691040039062e+02
6.525208950042724609e+00,1.224022216796875000e+02
7.385390281677246094e+00,1.167857971191406250e+02
7.393614768981932706e+00,1.166845321655273438e+02
7.386106967926025391e+00,1.166420516967773438e+02
7.358555316925049716e+00,1.167817535400390625e+02
7.222941398620604581e+00,1.175929489135742045e+02
7.322914600372313565e+00,1.168843154907226420e+02
7.350315570831298828e+00,1.166504821777343608e+02
7.201557636260985440e+00,1.175678939819335938e+02
7.302315711975097656e+00,1.168465576171875000e+02
7.326907634735107422e+00,1.164999694824218750e+02
6.554395198822020596e+00,1.215021362304687642e+02
7.276820182800292969e+00,1.167887649536132812e+02
7.166162967681884766e+00,1.175272674560546733e+02
6.598985671997070312e+00,1.210930557250976420e+02
7.381717681884764737e+00,1.158473281860351562e+02
7.127987861633300781e+00,1.174577255249023438e+02
6.553330898284912109e+00,1.210789031982421733e+02
7.174437522888183594e+00,1.169865493774414062e+02
7.124804973602294922e+00,1.172671737670898438e+02
6.483120918273925781e+00,1.214008636474609233e+02
7.153444290161132812e+00,1.169414443969726420e+02
7.118776321411132812e+00,1.171712493896484375e+02
6.489998340606689453e+00,1.212278289794921733e+02
7.216820716857910156e+00,1.164695739746093608e+02
6.496204376220703125e+00,1.211456832885742045e+02
7.140205383300780362e+00,1.168902587890625000e+02
6.458897113800048828e+00,1.212506256103515625e+02
6.906011581420897549e+00,1.183026199340820455e+02
6.424663543701171875e+00,1.213356628417968750e+02
6.881796360015869141e+00,1.183264312744140625e+02
6.432996273040771484e+00,1.211979370117187642e+02
7.031404972076416016e+00,1.172593612670898438e+02
6.405568599700927734e+00,1.212489166259765625e+02
6.379444599151611328e+00,1.213701934814453267e+02
6.367300033569335938e+00,1.214032516479492045e+02
6.395147323608398438e+00,1.211847915649414062e+02
6.930582523345947266e+00,1.177006759643554545e+02
6.804924964904785156e+00,1.183897323608398438e+02
6.295187473297119141e+00,1.216383056640625000e+02
6.361461162567138672e+00,1.211379013061523438e+02
6.292412757873535156e+00,1.215691986083984375e+02
6.779777526855468750e+00,1.184199752807617188e+02
6.307046413421630859e+00,1.214349594116210795e+02
6.311003684997559482e+00,1.213243637084960795e+02
7.037680149078369141e+00,1.165747833251953267e+02
6.857442855834960938e+00,1.177308349609375000e+02
6.328023910522460938e+00,1.211325683593750000e+02
